gene_id,gene_short_name,cell_group,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value,partition_assignment
ENSG00000162511,LAPTM5,1,0.25249329652380825,7.81374577969684,0.9530516431924883,0.2649313899486264,0.2707844737893044,4.758241576562606e-63,1.7477068893130217e-57,B1
ENSG00000265972,TXNIP,1,0.23986801279351583,10.089063669073216,0.8779342723004695,0.2732186455883362,0.17291543285995473,7.01647000663419e-41,2.577156449906745e-35,B1
ENSG00000163534,FCRL1,1,0.2498245920195959,0.4034670907380437,0.25821596244131456,0.9675025109122531,0.17768378711381974,5.828381026692448e-42,2.1407701794851628e-36,B1
ENSG00000122224,LY9,1,0.260304566903536,0.8469228048018809,0.4413145539906103,0.5898390718133316,0.19723968588620727,2.1614010409083707e-46,7.938847637266855e-41,B1
ENSG00000117523,PRRC2C,1,0.2031653896895321,3.2627940299834384,0.9014084507042254,0.22538660418682466,0.1676762649927457,1.0801645394820099e-39,3.967455155162817e-34,B1
ENSG00000116191,RALGPS2,1,0.3725844087799688,1.2208833581597196,0.5915492957746479,0.6298450719851854,0.3579096788515307,8.788053420313632e-83,3.2278608093346176e-77,B1
ENSG00000198625,MDM4,1,0.2764732835605165,3.8038674005245796,0.8873239436619719,0.31158100210788364,0.2985084516875015,2.5042332085004966e-69,9.198073617154408e-64,B1
ENSG00000119866,BCL11A,1,0.2209592003802069,0.9946436571867557,0.5211267605633803,0.4240027899187754,0.180896497463377,1.0903215786486864e-42,4.004762061592412e-37,B1
ENSG00000144218,AFF3,1,0.21885800410759482,0.5382769874764897,0.3145539906103286,0.6957724608196671,0.16851740791735237,6.963869274691428e-40,2.557836148463436e-34,B1
ENSG00000153094,BCL2L11,1,0.20571568757629616,1.104214779989471,0.5023474178403756,0.4095087986331877,0.17820517232656818,4.440180258937817e-42,1.6308826492881192e-36,B1
ENSG00000114861,FOXP1,1,0.2791892727013294,2.8882331846346196,0.7699530516431925,0.3626055797889217,0.24457263557535236,4.1086324085074105e-57,1.5091047922771805e-51,B1
ENSG00000153064,BANK1,1,0.4354125468101956,1.6979889697913384,0.6854460093896714,0.635225153908025,0.446973233182484,5.769902604386005e-103,2.119290996493584e-97,B1
ENSG00000019582,CD74,1,0.32689961800675765,15.698558251532226,0.971830985915493,0.3363749692533303,0.38515108356412026,5.916865522426604e-89,2.173270623252814e-83,B1
ENSG00000164330,EBF1,1,0.23633760135993287,0.3316763052923206,0.2535211267605634,0.932220538697513,0.16889178894259926,5.7279698923053495e-40,2.103889069413647e-34,B1
ENSG00000112149,CD83,1,0.4053431440983354,3.1428972535383752,0.8169014084507042,0.4961959177755485,0.4265734579096965,2.4276369465484182e-98,8.916734781041805e-93,B1
ENSG00000204287,HLA-DRA,1,0.27854220723971085,9.74869433973823,0.9107981220657277,0.3058221141343217,0.2923894411150442,6.088371639572995e-68,2.2362649915868005e-62,B1
ENSG00000196126,HLA-DRB1,1,0.2531543047171676,4.755753435002003,0.8685446009389671,0.2914695508365227,0.21449806425626322,2.662457543581537e-50,9.779233182150421e-45,B1
ENSG00000196735,HLA-DQA1,1,0.2426419700727985,1.4752635673875707,0.6291079812206573,0.3856920867575081,0.20160692169770136,2.2150752315197594e-47,8.135993476124391e-42,B1
ENSG00000179344,HLA-DQB1,1,0.4615938696627251,5.603690703836988,0.92018779342723,0.5016300726436758,0.5002507906182505,4.795535176742054e-115,1.761404865952533e-109,B1
ENSG00000242574,HLA-DMB,1,0.3530774776566431,1.497995080827627,0.6150234741784038,0.5740878071821754,0.3189820449779959,5.7763670349094704e-74,2.1216653882892834e-68,B1
ENSG00000231389,HLA-DPA1,1,0.2222250023171043,3.705108288119073,0.8356807511737089,0.26592092973900683,0.19086837999589948,6.000219435911101e-45,2.2038865990295832e-39,B1
